Date,Open,High,Low,Close,Volume,Adj Close
2012-05-11,86.459999,86.459999,86.459999,86.459999,000,81.668862
2012-05-10,86.459999,86.459999,86.459999,86.459999,000,81.668862
2012-05-09,86.620003,86.68,86.459999,86.459999,1300,81.668862
2012-05-08,86.209999,86.209999,86.209999,86.209999,000,81.432715
2012-05-07,86.209999,86.209999,86.209999,86.209999,300,81.432715
2012-05-04,86.199997,86.199997,86.199997,86.199997,3000,81.423267
2012-05-03,85.860001,85.860001,85.860001,85.860001,800,81.102112
2012-05-02,85.870003,85.900002,85.870003,85.900002,2500,81.139896
2012-05-01,85.690002,85.690002,85.620003,85.620003,1100,80.875413
2012-04-30,85.910004,85.910004,85.910004,85.910004,100,81.149344
2012-04-27,85.830002,85.849998,85.830002,85.839996,1000,80.950976
2012-04-26,85.93,85.93,85.93,85.93,100,81.035854
2012-04-25,85.629997,85.629997,85.400002,85.400002,3200,80.536041
2012-04-24,85.800003,85.889999,85.800003,85.849998,5000,80.960408
2012-04-23,86.019997,86.019997,85.970001,85.970001,1800,81.073576
2012-04-20,85.769997,85.769997,85.769997,85.769997,000,80.884963
2012-04-19,85.800003,85.800003,85.769997,85.769997,400,80.884963
2012-04-18,85.690002,85.690002,85.690002,85.690002,300,80.809525
2012-04-17,85.470001,85.480003,85.459999,85.480003,2600,80.611486
2012-04-16,85.669998,85.669998,85.669998,85.669998,200,80.79066
2012-04-13,85.50,85.57,85.50,85.57,700,80.696357
2012-04-12,85.260002,85.260002,85.150002,85.150002,1500,80.30028
2012-04-11,85.330002,85.339996,85.330002,85.339996,7300,80.479453
2012-04-10,85.349998,85.580002,85.349998,85.580002,700,80.705789
2012-04-09,84.75,85.230003,84.75,85.230003,500,80.375725
2012-04-05,84.220001,84.220001,84.220001,84.220001,200,79.423248
2012-04-04,83.879997,83.879997,83.879997,83.879997,200,79.102609
2012-04-03,84.199997,84.199997,83.589996,83.68,13200,78.914003
2012-04-02,84.150002,84.150002,84.110001,84.110001,500,79.319512
2012-03-30,84.389999,84.440002,84.00,84.440002,3900,79.630719
2012-03-29,84.43,84.43,84.43,84.43,200,79.517548
2012-03-28,84.379997,84.379997,84.379997,84.379997,100,79.470454
2012-03-27,84.07,84.279999,84.07,84.279999,1700,79.376274
2012-03-26,83.809998,83.809998,83.809998,83.809998,000,78.933619
2012-03-23,83.809998,83.809998,83.790001,83.809998,400,78.933619
2012-03-22,83.580002,83.610001,83.580002,83.610001,1600,78.745259
2012-03-21,83.349998,83.489998,83.339996,83.449997,21500,78.594565
2012-03-20,82.889999,82.910004,82.889999,82.889999,500,78.06715
2012-03-19,83.269997,83.339996,82.910004,82.910004,51400,78.08599
2012-03-16,83.059998,83.510002,83.059998,83.449997,79100,78.594565
2012-03-15,83.610001,83.610001,83.459999,83.559998,1300,78.698165
2012-03-14,84.550003,84.550003,84.550003,84.550003,000,79.630569
2012-03-13,84.800003,84.800003,84.510002,84.550003,3100,79.630569
2012-03-12,85.120003,85.120003,85.110001,85.110001,400,80.157983
2012-03-09,84.919998,84.919998,84.919998,84.919998,200,79.979036
2012-03-08,85.169998,85.25,85.169998,85.25,1700,80.289837
2012-03-07,85.57,85.589996,85.57,85.589996,300,80.610051
2012-03-06,85.68,85.730003,85.580002,85.580002,400,80.600638
2012-03-05,85.339996,85.339996,85.199997,85.199997,300,80.242743
2012-03-02,85.309998,85.440002,85.309998,85.370003,1600,80.402858
2012-03-01,85.110001,85.120003,84.900002,85.050003,2100,80.101477
2012-02-29,85.349998,85.370003,85.300003,85.370003,600,80.402858
2012-02-28,86.00,86.00,85.790001,85.790001,1700,80.657149
2012-02-27,85.839996,85.879997,85.839996,85.879997,700,80.74176
2012-02-24,85.419998,85.419998,85.419998,85.419998,000,80.309283
2012-02-23,85.410004,85.419998,85.410004,85.419998,500,80.309283
2012-02-22,85.160004,85.43,85.160004,85.43,3400,80.318687
2012-02-21,84.949997,85.080002,84.949997,85.019997,2700,79.933214
